"Jurisdiction","Precinct","Race","Candidate","Votes"
"Washoe","GER-WADS 7531 (MP)","Supreme Court Justice, Seat D","HERNDON, DOUGLAS","14"
"Washoe","GER-WADS 7531 (MP)","President and Vice President of the United States","JORGENSEN, JO","0"
"Washoe","GER-WADS 7531 (MP)","District Court Judge, District 2, Department  5 Family Division","Lu, Cynthia","18"
"Washoe","GER-WADS 7531 (MP)","Supreme Court Justice, Seat B","None Of These Candidates","6"
"Washoe","GER-WADS 7531 (MP)","President and Vice President of the United States","None Of These Candidates","0"
"Washoe","GER-WADS 7531 (MP)","Supreme Court Justice, Seat D","None Of These Candidates","6"
"Washoe","GER-WADS 7531 (MP)","Court of Appeals Judge, Department 3","None Of These Candidates","8"
"Washoe","GER-WADS 7531 (MP)","Supreme Court Justice, Seat B","Pickering, Kristina","15"
"Washoe","GER-WADS 7531 (MP)","State Assembly, District 32","POVILAITIS, PAULA","4"
"Washoe","GER-WADS 7531 (MP)","District Court Judge, District 2, Department  3","RIGGS, TAMMY M.","16"
"Washoe","GER-WADS 7531 (MP)","District Court Judge, District 2, Department 13 Family Division","ROBB, BRIDGET E.","14"
"Washoe","GER-WADS 7531 (MP)","District Court Judge, District 2, Department 10","SATTLER, ELLIOTT A.","10"
"Washoe","GER-WADS 7531 (MP)","District Court Judge, District 2, Department 14 Family Division","SCHREINERT, TAMATHA R.","17"
"Washoe","GER-WADS 7531 (MP)","District Court Judge, District 2, Department 11 Family Division","SHANNON, GREG","10"
"Washoe","GER-WADS 7531 (MP)","District Court Judge, District 2, Department 10","SIGURDSON, KATHLEEN A.","11"
"Washoe","GER-WADS 7531 (MP)","District Court Judge, District 2, Department  6","SIMONS, LYNNE K.","16"
"Washoe","GER-WADS 7531 (MP)","District Court Judge, District 2, Department  4","STEINHEIMER, CONNIE","16"
"Washoe","GER-WADS 7531 (MP)","President and Vice President of the United States","TRUMP, DONALD J.","22"
"Washoe","GER-WADS 7531 (MP)","District Court Judge, District 2, Department 12 Family Division","UNSWORTH, SANDRA A.","15"
"Washoe","GER-WADS 7531 (MP)","District Court Judge, District 2, Department  7","WALKER, EGAN K.","20"
"Washoe","GER-WADS 7581","U.S. Representative in Congress, District 2","ACKERMAN, PATRICIA","154"
